Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/10,10,October,2003,153,177,192,5,5,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,5,533,5,4522,5065,6585,9407,5152,209,21673,320
IAD,"Washington, DC: Washington Dulles International",2003/10,10,October,2003,280,309,510,7,67,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",13,125,1171,15,7412,8723,14986,18071,21855,302,64257,9043
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/10,10,October,2003,291,351,964,10,42,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,51,1656,36,14214,15957,16074,18952,29350,390,69360,4594
JFK,"New York, NY: John F. Kennedy International",2003/10,10,October,2003,201,156,373,7,16,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",11,28,755,6,5335,6124,12350,9965,15255,204,39054,1280
LAS,"Las Vegas, NV: McCarran International",2003/10,10,October,2003,429,573,800,9,32,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,135,1841,17,10594,12587,19898,32158,34651,555,89796,2534
LAX,"Los Angeles, CA: Los Angeles International",2003/10,10,October,2003,612,578,1112,12,150,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,581,2463,78,15851,18973,33935,32937,74833,496,155938,13737
LGA,"New York, NY: LaGuardia",2003/10,10,October,2003,281,260,808,2,27,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,124,1375,6,7814,9319,13835,13847,32134,83,61210,1311
MCO,"Orlando, FL: Orlando International",2003/10,10,October,2003,267,249,298,1,4,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,17,816,6,6985,7824,11785,12138,8768,10,33077,376
MDW,"Chicago, IL: Chicago Midway International",2003/10,10,October,2003,151,336,361,5,14,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.",9,45,869,3,6748,7665,7552,17727,10247,184,36536,826
MIA,"Miami, FL: Miami International",2003/10,10,October,2003,177,118,288,0,19,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",12,34,603,14,4297,4948,11322,6822,8642,0,27775,989
